Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
ICF:1034220517	Alternative vocalization functions	RO:0002331	involved in	some	ICF:151046878	Speaking
ICF:1041382491	Oral swallowing	RO:0002331	involved in	some	ICF:1328675264	Eating
ICF:1041382491	Oral swallowing	RO:0002331	involved in	some	ICF:553784299	Drinking
ICF:1109440237	Speed of speech	RO:0002331	involved in	some	ICF:151046878	Speaking
ICF:1174312718	Manipulation of food in the mouth	RO:0002331	involved in	some	ICF:1328675264	Eating
ICF:1328466963	Gait pattern functions	RO:0002331	involved in	some	ICF:1550548595	Walking
ICF:1328466963	Gait pattern functions	RO:0002331	involved in	some	ICF:2048203604	Mobility
ICF:1328466963	Gait pattern functions	RO:0002331	involved in	some	ICF:412494151	Running 
ICF:1389818830	Chewing	RO:0002331	involved in	some	ICF:1328675264	Eating
ICF:1426641453	Melody of speech	RO:0002331	involved in	some	ICF:151046878	Speaking
ICF:1806589582	Biting	RO:0002331	involved in	some	ICF:1328675264	Eating
ICF:1831985718	Vestibular function of balance	RO:0002331	involved in	some	ICF:2048203604 	Mobility
ICF:1846694084	Quality of voice	RO:0002331	involved in	some	ICF:151046878	Speaking
ICF:1919311435	Articulation functions	RO:0002331	involved in	some	ICF:151046878	Speaking
ICF:2052957777	Expression of spoken language	RO:0002331	involved in	some	ICF:151046878	Speaking
ICF:2069371821	Rhythm of speech	RO:0002331	involved in	some	ICF:151046878	Speaking
ICF:2089171534	Sucking	RO:0002331	involved in	some	ICF:1328675264	Eating
ICF:2089171534	Sucking	RO:0002331	involved in	some	ICF:553784299	Drinking
ICF:213697684	Fluency and rhythm of speech functions	RO:0002331	involved in	some	ICF:151046878	Speaking
ICF:576915490	Involuntary movement reaction functions	RO:0002331	involved in	some	ICF:2048203604 	Mobility
ICF:691689627	Pharyngeal swallowing	RO:0002331	involved in	some	ICF:553784299	Drinking
ICF:691689627	Pharyngeal swallowing	RO:0002331	involved in	some	ICF:1328675264	Eating
ICF:712570723	Voice functions	RO:0002331	involved in	some	ICF:151046878	Speaking
ICF:75971722	Reception of spoken language	RO:0002331	involved in	some	ICF:1896301954	Listening
ICF:923782542	Swallowing	RO:0002331	involved in	some	ICF:1328675264	Eating
ICF:923782542	Swallowing	RO:0002331	involved in	some	ICF:553784299	Drinking
PROMOT:0032024	Endurance of arm muscle	RO:0002331	involved in	some	ICF:2048203604	Mobility
PROMOT:0032025	Endurance of buccinator	RO:0002331	involved in	some	ICF:1328675264	Eating
PROMOT:0032028	Endurance of facial muscle	RO:0002331	involved in	some	ICF:1328675264	Eating
