Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
PROMOT:0010002	statement about a human	RO:0002351	has member	exactly 1	NCBITaxon:9606	Homo sapiens
PROMOT:0010002	statement about a human	RO:0002351	has member	Max 1	SNOMED:184099003	Date of Birth (observable entity)
PROMOT:0010002	statement about a human	RO:0002351	has member	Max 1	NCIT:C83164	Birth Year
PROMOT:0010002	statement about a human	RO:0002351	has member	Max 1	SNOMED:399753006	Date of death (observable entity)
PROMOT:0010002	statement about a human	RO:0002351	has member	Max 1	NCIT:C156426	Year of death
PROMOT:0010002	statement about a human	RO:0002351	has member	Max 1	NCIT:C124436	Sex at birth
PROMOT:0010002	statement about a human	RO:0002351	has member	some	NCIT:C25150	Age
PROMOT:0010002	statement about a human	RO:0002351	has member	some	NCIT:C20587	Age Category
PROMOT:0010002	statement about a human	RO:0002351	has member	some	SNOMED:184305005	cause of death
PROMOT:0010002	statement about a human	RO:0002351	has member	Max 1	NCIT:C135383	Age at death
PROMOT:0010003	statement about a patient	RO:0002351	has member	exactly 1	NCIT:C16960	Patient
PROMOT:0010003	statement about a patient	RO:0002351	has member	exactly 1	SNOMED:399423000	Date of admission (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	exactly 1	SNOMED:315354004	Country of Birth (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:364940007	Handedness finding (finding)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:424850005	Age at first symptom (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:423493009	Age at diagnosis (observable entity) 
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:432213005	Date of diagnosis (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	NCIT:C210821	Year of diagnosis
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:406543005	Date of visit (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:27113001	Body weight (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:1153637007	Body height (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:60621009	Body mass index (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:398192003	Co-morbid conditions (finding)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:33821000087103	Gender Identity (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:186034007	Ethnicity / related nationality data (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:184104002	Patient occupation (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:224288002	Duration of formal education (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:125680007	Marital status (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	SNOMED:224118004	NB of offspring (observable entity)
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	NCIT:C106551	Number of pregnancies
PROMOT:0010003	statement about a patient	RO:0002351	has member	some	PROMOT:0010065	Risk of fall assessed
PROMOT:0010004	statement about a phenotype	RO:0002351	has member	exactly 1	HP:0000118	Phenotypic abnormality
PROMOT:0010004	statement about a phenotype	RO:0002351	has member	exactly 1	SNOMED:298059007	Date of onset (observable entity)
PROMOT:0010004	statement about a phenotype	RO:0002351	has member	exactly 1	NCIT:C99800	Year of onset
PROMOT:0010004	statement about a phenotype	RO:0002351	has member	exactly 1	NCIT:C93511	Assessment date
PROMOT:0010004	statement about a phenotype	RO:0002351	has member	exactly 1	NCIT:C178992	Date of resolution
PROMOT:0010004	statement about a phenotype	RO:0002351	has member	some	ECO:0006151	Documented statement evidence
PROMOT:0010004	statement about a phenotype	RO:0002351	has member	exactly 1	PROMOT:0010013	Year of assessment
PROMOT:0010004	statement about a phenotype	RO:0002351	has member	some	PROMOT:0010014	Year of resolution
PROMOT:0010005	statement about a procedure	RO:0002351	has member	some	SNOMED:128927009	Procedure by method (procedure)
PROMOT:0010005	statement about a procedure	RO:0002351	has member	some	SNOMED:439272007	Date of procedure (observale entity)
PROMOT:0010006	statement about a consent	RO:0002351	has member	exactly 1	PROMOT:0010061	Consent type
PROMOT:0010006	statement about a consent	RO:0002351	has member	exactly 1	PROMOT:0010053	Consent status
PROMOT:0010006	statement about a consent	RO:0002351	has member	some	NCIT:C93579	Date of consent
