Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
PROMOT:0000028	statement about a human	RO:0002351	has member	exactly 1	SIO:000485	human
PROMOT:0000028	statement about a human	RO:0002351	has member	Max 1	SNOMED:184099003	Date of Birth (observable entity)
PROMOT:0000028	statement about a human	RO:0002351	has member	Max 1	PROMOT:0000037	Year of birth
PROMOT:0000028	statement about a human	RO:0002351	has member	Max 1	SNOMED:399753006	Date of death (observable entity)
PROMOT:0000028	statement about a human	RO:0002351	has member	Max 1	PROMOT:0000041	Year of death
PROMOT:0000028	statement about a human	RO:0002351	has member	Max 1	PROMOT:0000067	Sex at birth
PROMOT:0000028	statement about a human	RO:0002351	has member	some	PROMOT:0000042	Age
PROMOT:0000028	statement about a human	RO:0002351	has member	some	PROMOT:0000044	Age Category
PROMOT:0000028	statement about a human	RO:0002351	has member	Min 0	SNOMED:184305005	cause of death
PROMOT:0000028	statement about a human	RO:0002351	has member	Max 1	PROMOT:0000043	Age at death
PROMOT:0000029	statement about a patient	RO:0002351	has member	exactly 1	PROMOT:0000025	Patient
PROMOT:0000029	statement about a patient	RO:0002351	has member	exactly 1	SNOMED:399423000	Date of admission (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	exactly 1	SNOMED:315354004	Country of Birth (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:364940007	Handedness finding (finding)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:424850005	Age at first symptom (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:423493009	Age at diagnosis (observable entity) 
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:432213005	Date of diagnosis (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	PROMOT:0000038	Year of diagnosis
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:406543005	Date of visit (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:27113001	Body weight (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:1153637007	Body height (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:60621009	Body mass index (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:398192003	Co-morbid conditions (finding)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:33821000087103	Gender Identity (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:186034007	Ethnicity / related nationality data (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:184104002	Patient occupation (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:224288002	Duration of formal education (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:125680007	Marital status (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	SNOMED:224118004	NB of offspring (observable entity)
PROMOT:0000029	statement about a patient	RO:0002351	has member	some	PROMOT:0000078	Nb of previous pregnancies
PROMOT:0000029	statement about a patient	RO:0002351	has member	Min 0	PROMOT:0000079	Patient at risk of fall
PROMOT:0000030	statement about a phenotype	RO:0002351	has member	exactly 1	HP:0000118	Phenotypic abnormality
PROMOT:0000030	statement about a phenotype	RO:0002351	has member	exactly 1	SNOMED:298059007	Date of onset (observable entity)
PROMOT:0000030	statement about a phenotype	RO:0002351	has member	exactly 1	PROMOT:0000036	Year of onset
PROMOT:0000030	statement about a phenotype	RO:0002351	has member	exactly 1	PROMOT:0000034	Date of assessment
PROMOT:0000030	statement about a phenotype	RO:0002351	has member	exactly 1	PROMOT:0000035	Date of resolution
PROMOT:0000030	statement about a phenotype	RO:0002351	has member	some	ECO:0006151	Documented statement evidence
PROMOT:0000030	statement about a phenotype	RO:0002351	has member	exactly 1	PROMOT:0000039	Year of assessment
PROMOT:0000030	statement about a phenotype	RO:0002351	has member	Min 0	PROMOT:0000040	Year of resolution
PROMOT:0000031	statement about a procedure	RO:0002351	has member	some	SNOMED:128927009	Procedure by method (procedure)
PROMOT:0000031	statement about a procedure	RO:0002351	has member	some	SNOMED:439272007	Date of procedure (observale entity)
PROMOT:0000031	statement about a procedure	RO:0002351	has member	some	IAO:0000027 	data item 
PROMOT:0000032	statement about a consent	RO:0002351	has member	exactly 1	PROMOT:0000119	Consent type
PROMOT:0000032	statement about a consent	RO:0002351	has member	exactly 1	PROMOT:0000092	Consent status
PROMOT:0000032	statement about a consent	RO:0002351	has member	some	PROMOT:0000099	Date of consent
