Subject_iri	Subject_label	Predicate_iri	Predicate_label	Expression	Object_iri	Object_label
SNOMED:840297006	Assessment of patient reported outcome measures (procedure)	PROMOT:2000003	measures	some	ICF:1328675264	Eating
SNOMED:840297006	Assessment of patient reported outcome measures (procedure)	PROMOT:2000003	measures	some	ICF:1328675264	Drinking
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:1462755743	Standing
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1474003417	Maintaining head position
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:150502901	Changing basic body position
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:151046878	Speaking
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:1550548595	Walking on different surfaces
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:1550548595	Walking
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1851215071	Rolling over
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1896301954	Listening
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:1993770860	Going up and down stairs
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:2048203604	Mobility
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:409094401	Walking around obstacles
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:412494151	Running 
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:485719194	Maintaining a standing position
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:555410497	Walking short distances
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:623565657	Maintaining a sitting position
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:855039967	Sitting
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:919003335	Crawling
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1034220517	Alternative vocalization functions
SNOMED:840297006	Assessment of patient reported outcome measures (procedure)	PROMOT:2000003	measures	some	ICF:1041382491	Oral swallowing
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:1041382491	Oral swallowing
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1065560247	Pain in stomach or abdomen
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:1083127119	Functions of coughing
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:1090716697	Functions of external muscles of the eye
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1109440237	Speed of speech
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:117147127	Pain in chest
SNOMED:840297006	Assessment of patient reported outcome measures (procedure)	PROMOT:2000003	measures	some	ICF:1174312718	Manipulation of food in the mouth
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1299345975	Pain in upper limb
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:1328466963	Gait pattern functions
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:1360101629	Respiratory muscle functions
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1363559646	Mental functions
SNOMED:840297006	Assessment of patient reported outcome measures (procedure)	PROMOT:2000003	measures	some	ICF:1389818830	Chewing
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1399000785	Contraction force of ventricular muscles
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1405368356	Sensations related to muscles and movement functions
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1426641453	Melody of speech
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1434015402	Stretch motor reflex
SNOMED:12894003	Functional assessment (procedure)	PROMOT:2000003	measures	some	ICF:1470583183	Functions of breathing through the mouth
SNOMED:84100007	History taking (procedure)	PROMOT:2000003	measures	some	ICF:1515853559	Pain in lower limb
