ID,Label,Definition,Commentaire,Definition Source,See Also,Editor,Type,Parent Class,Disjoint Class,Equivalent Class,Domain,Range,Individual has value
ID,A rdfs:label,A IAO:0000115,A rdfs:comment,>A IAO:0000119,AI rdfs:seeAlso,A IAO:0000117,TYPE,SC % SPLIT=|,DC %,EC %,DOMAIN,RANGE,TI SIO:000300 exactly %
BFO:0000002,,,,,,,,,,,,,
BFO:0000015,,,,,,,,,,,,,
BFO:0000019,,,,,,,,,,,,,
BFO:0000028,,,,,,,,,,,,,
BFO:0000030,,,,,,,,,,,,,
BFO:0000034,,,,,,,,,,,,,
BFO:0000040,,,,,,,,,,,,,
WHOFIC:567313968,,,,,,,,BFO:0000034|(SIO:000217 some WHOFIC:1437901287),,,,,
WHOFIC:1626363729,,,,,,,,BFO:0000028|(SIO:000217 some WHOFIC:437219407)|(SIO:000217 some WHOFIC:524499668),,,,,
WHOFIC:423829389,,,,,,,,BFO:0000019,,,,,
WHOFIC:1394728112,,,,,,,,BFO:0000015|(SIO:000217 some WHOFIC:1280021050)|(SIO:000217 some WHOFIC:591104711),,,,,
WHOFIC:1280021050,,,,,,,,(SIO:000218 some WHOFIC:1394728112),,,,,
WHOFIC:591104711,,,,,,,,(SIO:000218 some WHOFIC:1394728112),,,,,
WHOFIC:524499668,,,,,,,,(SIO:000218 some WHOFIC:1626363729),,,,,
WHOFIC:437219407,,,,,,,,(SIO:000218 some FMA:62955)|(SIO:000218 some WHOFIC:1626363729),,,,,
WHOFIC:1437901287,,,,,,,,(SIO:000218 some WHOFIC:567313968),,,,,
MONDO:0000001,,,,,,,,PROMOT:8000001|(RO:0004029 some HP:0000118)|(RO:0004003 some PROMOT:0000001),,,,,
FMA:62955,,,,,,,,BFO:0000040,,,,,
FMA:5022,,,,,,,,FMA:62955,,,,,
FMA:7490,,,,,,,,FMA:62955,,,,,
FMA:50188,,,,,,,,FMA:62955,,,,,
SIO:000218,,,,,,,Object property,,,,,,
