defined_class	phenotype	activity
 http://id.who.int/icd/entity/242704590		http://id.who.int/icd/entity/553784299
 http://id.who.int/icd/entity/242704590		http://id.who.int/icd/entity/1328675264
 http://id.who.int/icd/entity/1034220517	HP:0001618	http://id.who.int/icd/entity/151046878
 http://id.who.int/icd/entity/1041382491	HP:0031162	http://id.who.int/icd/entity/1328675264
 http://id.who.int/icd/entity/1041382491		http://id.who.int/icd/entity/553784299
 http://id.who.int/icd/entity/1065560247	HP:0012531	
 http://id.who.int/icd/entity/1083127119	HP:0012735	
 http://id.who.int/icd/entity/1090716697	HP:0000602	
 http://id.who.int/icd/entity/1090716697	HP:0000544	
 http://id.who.int/icd/entity/1109440237	HP:0001618	http://id.who.int/icd/entity/151046878
 http://id.who.int/icd/entity/117147127	HP:0012531	
 http://id.who.int/icd/entity/1174312718	HP:0031146	http://id.who.int/icd/entity/1328675264
 http://id.who.int/icd/entity/1299345975	HP:0012531	
 http://id.who.int/icd/entity/1328466963	HP:0001288	http://id.who.int/icd/entity/1550548595
 http://id.who.int/icd/entity/1328466963		 http://id.who.int/icd/entity/2048203604
 http://id.who.int/icd/entity/1360101629	HP:0002098	
 http://id.who.int/icd/entity/1360101629	HP:0002094	
 http://id.who.int/icd/entity/1360101629	HP:0002747	
 http://id.who.int/icd/entity/1360101629	HP:0002093	
 http://id.who.int/icd/entity/1360101629	HP:0004347	
 http://id.who.int/icd/entity/1360101629	HP:0032341	
 http://id.who.int/icd/entity/1371343352	HP:0002828	
 http://id.who.int/icd/entity/1389818830	HP:0005216	http://id.who.int/icd/entity/1328675264
 http://id.who.int/icd/entity/1426641453	HP:0001618	http://id.who.int/icd/entity/151046878
 http://id.who.int/icd/entity/1515853559	HP:0012531	
 http://id.who.int/icd/entity/1757783224	HP:0002828	
 http://id.who.int/icd/entity/1789365017	HP:0000467	 http://id.who.int/icd/entity/2048203604
 http://id.who.int/icd/entity/1789365017	HP:0030319	http://id.who.int/icd/entity/1328675264
 http://id.who.int/icd/entity/1789365017	HP:0007715	
 http://id.who.int/icd/entity/1789365017	HP:0000597	
 http://id.who.int/icd/entity/1789365017	HP:0009023	
 http://id.who.int/icd/entity/1789365017		
 http://id.who.int/icd/entity/1789365017	HP:0003327	
 http://id.who.int/icd/entity/1789365017	HP:0003722	
 http://id.who.int/icd/entity/1789365017	HP:0008994	
 http://id.who.int/icd/entity/1789365017		
 http://id.who.int/icd/entity/1789365017	HP:0003749	
 http://id.who.int/icd/entity/1789365017	HP:0003731	
 http://id.who.int/icd/entity/1789365017	HP:0033416	
 http://id.who.int/icd/entity/1789365017	HP:0012515	
 http://id.who.int/icd/entity/1789365017	HP:0008997	
 http://id.who.int/icd/entity/1789365017		
 http://id.who.int/icd/entity/1789365017	HP:0003547	
 http://id.who.int/icd/entity/1789365017	HP:0031108	
 http://id.who.int/icd/entity/1789365017	HP:0009053	
 http://id.who.int/icd/entity/1789365017		
 http://id.who.int/icd/entity/1789365017	HP:0009027	
 http://id.who.int/icd/entity/1789365017	HP:0011727	
 http://id.who.int/icd/entity/1789365017	HP:0008963	
 http://id.who.int/icd/entity/1789365017		
 http://id.who.int/icd/entity/1789365017	HP:0031374	
 http://id.who.int/icd/entity/1789365017	HP:0008959	
 http://id.who.int/icd/entity/1789365017		
 http://id.who.int/icd/entity/1789365017	HP:0030237	
 http://id.who.int/icd/entity/1789365017	HP:0009077	
 http://id.who.int/icd/entity/1789365017	HP:0009005	
 http://id.who.int/icd/entity/1789365017	HP:0031177	
 http://id.who.int/icd/entity/1789365017	HP:0003392	
 http://id.who.int/icd/entity/1789365017	HP:0003427	
 http://id.who.int/icd/entity/1789365017	HP:0003701	
 http://id.who.int/icd/entity/1789365017	HP:0002460	
 http://id.who.int/icd/entity/1789365017	HP:0007340	
 http://id.who.int/icd/entity/1789365017	HP:0003484	
 http://id.who.int/icd/entity/1789365017	HP:0003325	
 http://id.who.int/icd/entity/1789365017		
 http://id.who.int/icd/entity/1789365017	HP:0003690	
 http://id.who.int/icd/entity/1789365017	HP:0009063	
 http://id.who.int/icd/entity/1789365017	HP:0009073	
 http://id.who.int/icd/entity/1789365017	HP:0005216	
 http://id.who.int/icd/entity/1789365017	HP:0031146	http://id.who.int/icd/entity/553784299
 http://id.who.int/icd/entity/1789365017		
 http://id.who.int/icd/entity/1789365017	HP:0000602	
 http://id.who.int/icd/entity/1789365017	HP:0000544	
 http://id.who.int/icd/entity/1789365017	HP:0000508	
 http://id.who.int/icd/entity/1789365017	HP:0000183	
 http://id.who.int/icd/entity/1789365017		
 http://id.who.int/icd/entity/1789365017		http://id.who.int/icd/entity/151046878
 http://id.who.int/icd/entity/1789365017	HP:0033466	
 http://id.who.int/icd/entity/1789365017		
 http://id.who.int/icd/entity/1789365017	HP:0008988	
 http://id.who.int/icd/entity/1831985718	HP:0002141	 http://id.who.int/icd/entity/409094401
 http://id.who.int/icd/entity/1834472768		http://id.who.int/icd/entity/1328675264
 http://id.who.int/icd/entity/1846694084	HP:6001011	http://id.who.int/icd/entity/151046878
 http://id.who.int/icd/entity/1864074583	HP:0012378	
 http://id.who.int/icd/entity/1919311435		http://id.who.int/icd/entity/151046878
 http://id.who.int/icd/entity/2021370201	HP:0000508	
 http://id.who.int/icd/entity/2022689055	HP:0000651	
 http://id.who.int/icd/entity/2052957777		http://id.who.int/icd/entity/151046878
 http://id.who.int/icd/entity/2069371821	HP:0001618	http://id.who.int/icd/entity/151046878
 http://id.who.int/icd/entity/213697684		http://id.who.int/icd/entity/151046878
 http://id.who.int/icd/entity/299098423	HP:0032043	http://id.who.int/icd/entity/553784299
 http://id.who.int/icd/entity/299098423	HP:0012531	http://id.who.int/icd/entity/1328675264
 http://id.who.int/icd/entity/446199613	HP:0002098	
 http://id.who.int/icd/entity/446199613	HP:0002094	
 http://id.who.int/icd/entity/446199613	HP:0002747	
 http://id.who.int/icd/entity/446199613	HP:0002093	
 http://id.who.int/icd/entity/446199613	HP:0004347	
 http://id.who.int/icd/entity/446199613	HP:0032341	
 http://id.who.int/icd/entity/454325322	HP:0012531	
 http://id.who.int/icd/entity/556694745	HP:0004878	
 http://id.who.int/icd/entity/576915490	HP:0002141	 http://id.who.int/icd/entity/1550548595
 http://id.who.int/icd/entity/682314871	HP:0012531	
 http://id.who.int/icd/entity/691689627	HP:0031162	http://id.who.int/icd/entity/553784299
 http://id.who.int/icd/entity/691689627		http://id.who.int/icd/entity/1328675264
 http://id.who.int/icd/entity/712570723		http://id.who.int/icd/entity/151046878
 http://id.who.int/icd/entity/712570723	HP:0001618	
 http://id.who.int/icd/entity/712570723	HP:0001609	
 http://id.who.int/icd/entity/75971722		http://id.who.int/icd/entity/1896301954
 http://id.who.int/icd/entity/893697482	HP:0012531	
 http://id.who.int/icd/entity/923782542	HP:0032043	http://id.who.int/icd/entity/1328675264
 http://id.who.int/icd/entity/923782542	HP:0002015	http://id.who.int/icd/entity/553784299
 http://id.who.int/icd/entity/923782542	HP:0002068	
 http://id.who.int/icd/entity/923782542	HP:0200136	
